tconst,titleType,originalTitle,primaryTitle,startYear,endYear,runtimeMinutes,genres
tt36883984,tvEpisode,Monster Zero,Monster Zero,1975,,,"Fantasy,Horror,Mystery"
tt1124882,tvEpisode,Episode #1.9,Episode #1.9,2007,,,Sport
tt6747414,tvEpisode,Episode #1.267,Episode #1.267,1968,,,Drama
tt7368612,tvEpisode,Bonaventure,Bonaventure,2011,,,Documentary
tt29704079,tvEpisode,Keith & Richard vs. Ford & Will,Keith & Richard vs. Ford & Will,2003,,,"Family,Game-Show"
tt8259612,short,Brewster's Angle,Brewster's Angle,2004,,13,"Sci-Fi,Short"
tt23629924,tvEpisode,Werner Schmidbauer trifft Franz-Xaver Gernstl,Werner Schmidbauer trifft Franz-Xaver Gernstl,2006,,,Talk-Show
tt36473258,tvEpisode,Episode #1.3,Episode #1.3,,,,Thriller
tt16212292,tvEpisode,Episode dated 5 October 2021,Episode dated 5 October 2021,2021,,67,Talk-Show
tt7909118,tvEpisode,Making the Cut,Making the Cut,2016,,,Family
tt7734038,tvEpisode,Shinjuku no Hito-tachi,Shinjuku no Hito-tachi,2017,,24,"Action,Animation,Drama"
tt29808608,tvEpisode,Episode #1.39,Episode #1.39,2002,,,"Adventure,Drama,Fantasy"
tt7673292,tvEpisode,"Somewhere 1%: I GO, STOP Race; Part 5","Somewhere 1%: I GO, STOP Race; Part 5",2017,,93,"Comedy,Game-Show,Reality-TV"
tt0732846,tvEpisode,Reap the Whirlwind,Reap the Whirlwind,1998,,47,Drama
tt5887064,short,Summer and Music,Summer and Music,2016,,20,Short
tt7109502,tvEpisode,Episode #1.152,Episode #1.152,1979,,22,"Drama,Romance"
tt9879706,tvEpisode,Episode #3.83,Episode #3.83,2010,,,"Comedy,Drama,Romance"
tt4743348,movie,Untitled Rwanda Cycling Project,Untitled Rwanda Cycling Project,,,,"Drama,Sport"
